short_name	edf_signal	resmed_name	var_id_SX567_0302_0305	var_id_SX567_0306_0401_0402	var_id_SX584_0204	notes
AAA			0x027D	0x027E	0x02B0	
AAV	AlvMinVent.2s	ACHV_ALV_MIN_VENT	0x0055	0x0055	0x005A	Va [L/min] (0.0 .. 30.0 step 0.1)
ABF	S.ABFilter	AB_FILTER	0x021C	0x021C	0x023C	AB Filter
ABH		ABSOLUTE_AMBIENT_HUMIDITY	0x005E	0x005E	0x0063	Ambient Humidity
ABM	AmbHumidity.50	AMB_HUMIDITY_MED	0x005F	0x005F	0x0064	Ambient Humidity Median
ABR		ABORT_ERR	0x02CA	0x02CB	0x0302	EEPROM stream: abort errors (FAT)
ACC	S.PtAccess	PATIENT_ACCESS_TYPE	0x0216	0x0216	0x0234	Patient Access
ADR		ALARM_DUR	0x0031	0x0031	0x0036	
AEM					0x0173	Lumis SX584-020x exclusive
AEP		AVG_EPR_PRESS	0x0044	0x0044	0x0049	Avg EPR Pressure
AER		APP_ERR_ORI	0x01FB	0x01FB	0x0219	App Error Origin
AES		ALARM_EVENT_TYPE			0x02E5	Lumis SX584-020x exclusive; Alarm event type; AEV signal
AET		APN_EV_TYPE	0x0220	0x0220	0x0244	Apnea Event Type
AEV			0x02C7	0x02C8	0x02FF	EDF event channel
AFC	S.AS.Comfort	AUTOSET_COMFORT	0x0221	0x0221	0x0245	AutoSet Comfort/Response
AFL		AVG_BLOWER_FLOW	0x005C	0x005C	0x0061	Avg Blower Flow
AGL			0x02D6	0x02D7	0x030F	AutoSet settings storage group
AGT			0x0112	0x0112	0x0123	AGL AutoSet settings EEPROM group change tracker
AHC			0x0114	0x0114	0x0125	Combined apnea and hypopnea count; incremented for AET=1..4
AHI	AHI	AHI_SESSION	0x004C	0x004C	0x0051	
AIC			0x0115	0x0115	0x0126	Total apnea count; incremented for AET=2..4
AIE		AVG_I_E_RATIO	0x0083	0x0083	0x008F	Avg I:E Ratio [%]
AIP		AVG_BI_THERAPY_PRESS	0x0045	0x0045	0x004A	Avg Bilevel Pressure
AIR			0x02AD	0x02AE	0x02E3	myAir
AIS	AI	AI_SESSION	0x004D	0x004D	0x0052	
AKM			0x028E	0x028F	0x02C2	
AL2					0x0174	Lumis SX584-020x exclusive
ALA		ALARM_LOG_APERIODIC			0x030E	Lumis SX584-020x exclusive; Aperiodic alarm log: ANE events, linked to ALT
ALB		ACTIVE_ALARM	0x01FD	0x01FD	0x021B	
ALL			0x016B	0x016B	0x0180	Overall CPU usage from the RTOS idle-time statistics; raw / 10 = %
ALM					0x02C3	Lumis SX584-020x exclusive
ALR	S.LeakAlert	AUDIO_ALARM	0x0222	0x0222	0x0246	Leak Alert
ALT					0x0172	Lumis SX584-020x exclusive; Notification variable linked to the ALA alarm log
ALV	Alm.Vol	ALARM_VOLUME	0x021D	0x021D	0x023D	Alarm Vol/Test
AMR					0x0034	Lumis SX584-020x exclusive
AMT			0x0128	0x0128	0x0139	
ANE		ALARM_EVENT_TYPE_TEMP			0x02E6	Lumis SX584-020x exclusive; Alarm event type recorded in ALA
